V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,T1,T2
8.21,24.00,50997.44,3087.62,9320.36,437.99,437.99,939.71,288.00,739.16,3.57,1.00,18.43,1.04,61.35,1.22,0.95,0.99
9.30,27.00,72770.23,3560.43,9782.78,644.89,644.89,1103.31,288.00,786.56,4.49,1.00,22.56,1.05,91.26,1.81,0.95,0.99
1.14,3.00,5586.99,1405.81,6740.40,10.91,10.91,611.29,288.00,574.68,1.29,1.00,6.99,1.02,0.00,0.25,0.95,0.99
2.09,6.00,5723.04,1348.66,6832.59,23.16,23.16,599.12,288.00,574.27,1.29,1.00,6.97,1.02,22.54,0.26,0.95,0.99
3.14,9.00,8380.01,1386.76,7133.30,60.37,60.37,595.55,288.00,585.27,1.39,1.00,7.50,1.02,12.66,0.25,0.95,0.99
4.16,12.00,14724.78,1547.47,7807.79,113.80,113.80,650.24,288.00,611.40,1.66,1.00,8.91,1.02,17.58,0.35,0.95,0.99
5.14,15.00,21637.35,1924.33,8501.89,175.32,175.32,719.01,288.00,642.87,2.08,1.00,11.08,1.03,25.68,0.51,0.95,0.99
6.18,18.00,29795.23,2307.30,8836.45,246.26,246.26,786.52,288.00,673.19,2.50,1.00,13.21,1.03,34.88,0.69,0.95,0.99
7.15,21.00,38979.35,2678.08,9136.45,332.10,332.10,841.29,288.00,697.09,2.96,1.00,15.50,1.04,44.88,0.89,0.95,0.99
8.21,24.00,50997.32,3087.62,9320.72,438.14,438.14,938.69,288.00,739.00,3.57,1.00,18.41,1.04,61.26,1.21,0.95,0.99
9.30,27.00,72771.71,3560.42,9783.55,645.13,645.13,1102.43,288.00,786.42,4.49,1.00,22.53,1.05,91.15,1.80,0.95,0.99
1.14,3.00,6906.80,1386.41,6731.40,9.75,9.75,649.18,288.00,579.01,1.33,1.00,7.19,1.02,0.00,0.30,0.95,0.99
2.09,6.00,5556.12,1347.46,6834.41,22.94,22.94,594.20,288.00,573.50,1.28,1.00,6.93,1.02,22.99,0.25,0.95,0.99
3.14,9.00,8380.08,1386.76,7135.89,60.37,60.37,594.73,288.00,585.13,1.39,1.00,7.49,1.02,12.63,0.25,0.95,0.99
4.16,12.00,14725.00,1547.47,7809.83,113.78,113.78,649.36,288.00,611.24,1.66,1.00,8.90,1.02,17.54,0.35,0.95,0.99
5.14,15.00,21637.57,1924.33,8502.80,175.32,175.32,718.04,288.00,642.69,2.08,1.00,11.06,1.03,25.63,0.51,0.95,0.99
6.18,18.00,29795.56,2307.29,8837.48,246.34,246.34,785.43,288.00,672.97,2.50,1.00,13.20,1.03,34.81,0.69,0.95,0.99
7.15,21.00,38978.95,2678.08,9136.96,332.10,332.10,840.26,288.00,696.92,2.96,1.00,15.48,1.04,44.80,0.89,0.95,0.99
8.21,24.00,50997.22,3087.62,9321.07,438.14,438.14,937.67,288.00,738.84,3.57,1.00,18.39,1.04,61.16,1.21,0.95,0.99
9.30,27.00,72772.01,3560.43,9784.30,644.80,644.80,1101.55,288.00,786.29,4.49,1.00,22.50,1.05,91.05,1.80,0.95,0.99
1.14,3.00,7415.71,1366.09,6721.36,8.57,8.57,667.75,288.00,580.07,1.33,1.00,7.24,1.02,9.75,0.33,0.95,0.99
2.09,6.00,5195.42,1345.73,6835.86,22.63,22.63,583.91,288.00,571.92,1.27,1.00,6.86,1.02,23.20,0.24,0.95,0.99
3.14,9.00,8380.17,1386.76,7138.48,60.36,60.36,593.92,288.00,584.98,1.39,1.00,7.48,1.02,12.59,0.25,0.95,0.99
4.16,12.00,14725.05,1547.47,7811.85,113.79,113.79,648.49,288.00,611.08,1.66,1.00,8.89,1.02,17.50,0.35,0.95,0.99
5.14,15.00,21637.64,1924.34,8503.72,175.30,175.30,717.07,288.00,642.51,2.08,1.00,11.05,1.03,25.57,0.51,0.95,0.99
6.18,18.00,29795.96,2307.29,8838.52,246.28,246.28,784.33,288.00,672.75,2.50,1.00,13.18,1.03,34.74,0.69,0.95,0.99
7.15,21.00,38978.65,2678.08,9137.46,332.14,332.14,839.24,288.00,696.75,2.96,1.00,15.47,1.04,44.72,0.89,0.95,0.99
8.21,24.00,50997.10,3087.62,9321.43,438.06,438.06,936.66,288.00,738.68,3.57,1.00,18.37,1.04,61.07,1.21,0.95,0.99
9.30,27.00,72772.55,3560.43,9785.04,644.79,644.79,1100.67,288.00,786.15,4.49,1.00,22.48,1.05,90.94,1.80,0.95,0.99
1.14,3.00,6973.83,1337.88,6705.87,6.97,6.97,662.61,288.00,577.86,1.31,1.00,7.13,1.02,23.79,0.33,0.95,0.99
2.09,6.00,5284.24,1346.18,6838.67,22.71,22.71,585.54,288.00,572.20,1.27,1.00,6.88,1.02,23.36,0.24,0.95,0.99
3.14,9.00,8380.32,1386.76,7141.07,60.36,60.36,593.12,288.00,584.83,1.39,1.00,7.47,1.02,12.56,0.25,0.95,0.99
4.16,12.00,14725.06,1547.47,7813.87,113.81,113.81,647.61,288.00,610.92,1.66,1.00,8.88,1.02,17.46,0.35,0.95,0.99
5.14,15.00,21637.77,1924.34,8504.63,175.31,175.31,716.11,288.00,642.32,2.08,1.00,11.04,1.03,25.51,0.51,0.95,0.99
6.18,18.00,29796.19,2307.28,8839.55,246.33,246.33,783.24,288.00,672.53,2.50,1.00,13.17,1.03,34.67,0.69,0.95,0.99
7.15,21.00,38978.33,2678.08,9137.97,332.17,332.17,838.22,288.00,696.59,2.96,1.00,15.45,1.04,44.64,0.88,0.95,0.99
8.21,24.00,50996.97,3087.61,9321.79,438.02,438.02,935.64,288.00,738.52,3.57,1.00,18.34,1.04,60.97,1.21,0.95,0.99
9.30,27.00,72774.05,3560.43,9785.80,645.03,645.03,1099.80,288.00,786.02,4.48,1.00,22.45,1.05,90.84,1.80,0.95,0.99
1.14,3.00,5857.75,1320.91,6696.91,6.03,6.03,636.61,288.00,573.43,1.28,1.00,6.93,1.02,30.34,0.30,0.95,0.99
2.09,6.00,4764.02,1344.50,6840.15,22.39,22.39,570.99,288.00,570.12,1.26,1.00,6.78,1.02,23.43,0.22,0.95,0.99
3.14,9.00,8380.38,1386.76,7143.66,60.37,60.37,592.31,288.00,584.68,1.39,1.00,7.47,1.02,12.53,0.25,0.95,0.99
4.16,12.00,14725.14,1547.47,7815.90,113.81,113.81,646.74,288.00,610.76,1.66,1.00,8.87,1.02,17.42,0.35,0.95,0.99
5.14,15.00,21638.09,1924.34,8505.55,175.32,175.32,715.14,288.00,642.15,2.08,1.00,11.03,1.03,25.46,0.50,0.95,0.99
6.18,18.00,29796.49,2307.27,8840.59,246.35,246.35,782.15,288.00,672.31,2.50,1.00,13.16,1.03,34.60,0.69,0.95,0.99
7.15,21.00,38978.00,2678.08,9138.48,332.17,332.17,837.20,288.00,696.42,2.96,1.00,15.43,1.04,44.56,0.88,0.95,0.99
8.21,24.00,50996.89,3087.61,9322.14,438.02,438.02,934.64,288.00,738.36,3.57,1.00,18.32,1.04,60.88,1.21,0.95,0.99
9.30,27.00,72774.66,3560.43,9786.54,644.87,644.87,1098.93,288.00,785.88,4.48,1.00,22.42,1.05,90.74,1.80,0.95,0.99
1.14,3.00,4539.37,1311.58,6692.37,5.52,5.52,603.00,288.00,568.31,1.24,1.00,6.70,1.02,33.18,0.27,0.95,0.99
2.09,6.00,4723.82,1344.66,6842.77,22.42,22.42,569.07,288.00,569.62,1.26,1.00,6.76,1.02,23.32,0.22,0.95,0.99
3.14,9.00,8380.50,1386.77,7146.25,60.37,60.37,591.50,288.00,584.53,1.39,1.00,7.46,1.02,12.49,0.25,0.95,0.99
4.16,12.00,14725.27,1547.47,7817.93,113.81,113.81,645.87,288.00,610.60,1.66,1.00,8.87,1.02,17.37,0.34,0.95,0.99
5.14,15.00,21638.39,1924.34,8506.47,175.33,175.33,714.18,288.00,641.97,2.08,1.00,11.02,1.03,25.40,0.50,0.95,0.99
6.18,18.00,29796.75,2307.26,8841.62,246.30,246.30,781.07,288.00,672.09,2.50,1.00,13.14,1.03,34.52,0.68,0.95,0.99
7.15,21.00,38977.62,2678.08,9138.98,332.03,332.03,836.18,288.00,696.25,2.96,1.00,15.42,1.04,44.48,0.88,0.95,0.99
8.21,24.00,50996.79,3087.61,9322.50,438.02,438.02,933.63,288.00,738.21,3.56,1.00,18.30,1.04,60.78,1.20,0.95,0.99
9.30,27.00,72774.82,3560.44,9787.28,644.96,644.96,1098.06,288.00,785.75,4.48,1.00,22.40,1.05,90.63,1.79,0.95,0.99
1.14,3.00,2341.70,1308.78,6690.71,5.35,5.35,539.76,288.00,558.71,1.17,1.00,6.29,1.02,31.17,0.19,0.95,0.99
2.09,6.00,4513.01,1344.41,6845.21,22.37,22.37,562.50,288.00,568.63,1.25,1.00,6.72,1.02,23.28,0.21,0.95,0.99
3.14,9.00,8380.58,1386.77,7148.84,60.36,60.36,590.70,288.00,584.38,1.39,1.00,7.45,1.02,12.46,0.25,0.95,0.99
4.16,12.00,14725.30,1547.47,7819.96,113.81,113.81,645.00,288.00,610.44,1.66,1.00,8.86,1.02,17.33,0.34,0.95,0.99
5.14,15.00,21638.61,1924.34,8507.39,175.31,175.31,713.22,288.00,641.79,2.08,1.00,11.01,1.03,25.35,0.50,0.95,0.99
6.18,18.00,29797.05,2307.26,8842.65,246.36,246.36,779.99,288.00,671.88,2.50,1.00,13.13,1.03,34.45,0.68,0.95,0.99
7.15,21.00,38977.33,2678.08,9139.49,332.07,332.07,835.17,288.00,696.08,2.96,1.00,15.40,1.04,44.40,0.88,0.95,0.99
8.21,24.00,50996.15,3087.60,9322.87,438.10,438.10,932.61,288.00,738.05,3.56,1.00,18.28,1.04,60.69,1.20,0.95,0.99
9.30,27.00,72775.44,3560.44,9788.01,644.84,644.84,1097.19,288.00,785.62,4.48,1.00,22.37,1.05,90.53,1.79,0.95,0.99
1.14,3.00,1093.18,1316.32,6696.39,5.75,5.75,496.13,288.00,552.23,1.12,1.00,6.04,1.02,24.89,0.14,0.95,0.99
2.09,6.00,4463.67,1344.40,6847.75,22.37,22.37,560.39,288.00,568.30,1.25,1.00,6.70,1.02,23.21,0.21,0.95,0.99
3.14,9.00,8380.70,1386.77,7151.44,60.37,60.37,589.90,288.00,584.24,1.39,1.00,7.44,1.02,12.43,0.25,0.95,0.99
4.16,12.00,14725.47,1547.48,7822.00,113.81,113.81,644.14,288.00,610.28,1.65,1.00,8.85,1.02,17.29,0.34,0.95,0.99
5.14,15.00,21638.52,1924.34,8508.29,175.34,175.34,712.27,288.00,641.61,2.07,1.00,11.00,1.03,25.29,0.50,0.95,0.99
6.18,18.00,29797.30,2307.25,8843.68,246.29,246.29,778.91,288.00,671.66,2.50,1.00,13.12,1.03,34.38,0.68,0.95,0.99
7.15,21.00,38977.01,2678.08,9139.99,332.10,332.10,834.16,288.00,695.92,2.96,1.00,15.38,1.04,44.32,0.88,0.95,0.99
8.21,24.00,50995.40,3087.58,9323.26,437.99,437.99,931.58,288.00,737.90,3.56,1.00,18.26,1.04,60.59,1.20,0.95,0.99
9.30,27.00,72776.40,3560.44,9788.75,645.07,645.07,1096.33,288.00,785.48,4.48,1.00,22.34,1.05,90.43,1.79,0.95,0.99
1.14,3.00,511.21,1324.85,6703.44,6.20,6.20,471.22,288.00,548.74,1.10,1.00,5.90,1.02,18.91,0.11,0.95,0.99
2.09,6.00,4094.82,1345.01,6850.59,22.46,22.46,549.06,288.00,566.62,1.24,1.00,6.63,1.02,22.29,0.20,0.95,0.99
3.14,9.00,8380.78,1386.77,7154.03,60.38,60.38,589.10,288.00,584.09,1.39,1.00,7.44,1.02,12.39,0.25,0.95,0.99
4.16,12.00,14725.50,1547.48,7824.03,113.81,113.81,643.28,288.00,610.12,1.65,1.00,8.84,1.02,17.25,0.34,0.95,0.99
5.14,15.00,21638.73,1924.35,8509.21,175.35,175.35,711.31,288.00,641.43,2.07,1.00,10.99,1.03,25.24,0.50,0.95,0.99
6.18,18.00,29797.48,2307.24,8844.71,246.28,246.28,777.84,288.00,671.44,2.50,1.00,13.10,1.03,34.31,0.68,0.95,0.99
7.15,21.00,38976.77,2678.08,9140.50,332.05,332.05,833.15,288.00,695.75,2.95,1.00,15.37,1.04,44.24,0.88,0.95,0.99
8.21,24.00,50995.07,3087.57,9323.66,438.10,438.10,930.56,288.00,737.74,3.56,1.00,18.24,1.04,60.50,1.20,0.95,0.99
9.30,27.00,72777.35,3560.44,9789.48,645.12,645.12,1095.47,288.00,785.35,4.48,1.00,22.32,1.05,90.33,1.79,0.95,0.99
1.14,3.00,268.74,1336.23,6712.89,6.81,6.81,455.61,288.00,546.96,1.09,1.00,5.84,1.02,12.54,0.08,0.95,1.00
2.09,6.00,4287.63,1344.74,6853.04,22.42,22.42,553.78,288.00,567.26,1.24,1.00,6.66,1.02,22.77,0.20,0.95,1.00
3.14,9.00,8380.93,1386.77,7156.63,60.38,60.38,588.30,288.00,583.94,1.39,1.00,7.43,1.02,12.36,0.25,0.95,1.00
4.16,12.00,14725.64,1547.48,7826.08,113.82,113.82,642.42,288.00,609.96,1.65,1.00,8.83,1.02,17.21,0.34,0.95,1.00
5.14,15.00,21638.76,1924.35,8510.12,175.31,175.31,710.36,288.00,641.25,2.07,1.00,10.97,1.03,25.18,0.50,0.95,1.00
6.18,18.00,29797.66,2307.23,8845.73,246.29,246.29,776.77,288.00,671.23,2.50,1.00,13.09,1.03,34.24,0.68,0.95,1.00
7.15,21.00,38976.44,2678.08,9141.00,332.09,332.09,832.15,288.00,695.59,2.95,1.00,15.35,1.04,44.16,0.87,0.95,1.00
8.21,24.00,50994.94,3087.56,9324.06,438.11,438.11,929.55,288.00,737.59,3.56,1.00,18.22,1.04,60.40,1.20,0.95,1.00
9.30,27.00,72778.65,3560.44,9790.21,645.11,645.11,1094.61,288.00,785.22,4.48,1.00,22.29,1.05,90.22,1.79,0.95,1.00
1.14,3.00,354.49,1351.14,6725.15,7.64,7.64,450.51,288.00,547.29,1.10,1.00,5.85,1.02,3.96,0.07,0.95,1.00
2.09,6.00,3966.44,1345.58,6856.01,22.57,22.57,543.64,288.00,565.71,1.23,1.00,6.59,1.02,21.97,0.19,0.95,1.00
3.14,9.00,8380.99,1386.77,7159.22,60.37,60.37,587.50,288.00,583.79,1.39,1.00,7.42,1.02,12.33,0.24,0.95,1.00
4.16,12.00,14725.67,1547.48,7828.11,113.81,113.81,641.56,288.00,609.80,1.65,1.00,8.82,1.02,17.17,0.34,0.95,1.00
5.14,15.00,21639.17,1924.35,8511.05,175.31,175.31,709.41,288.00,641.08,2.07,1.00,10.96,1.03,25.13,0.50,0.95,1.00
6.18,18.00,29797.86,2307.23,8846.76,246.30,246.30,775.70,288.00,671.01,2.50,1.00,13.08,1.03,34.17,0.68,0.95,1.00
7.15,21.00,38976.19,2678.08,9141.51,332.01,332.01,831.15,288.00,695.42,2.95,1.00,15.33,1.04,44.08,0.87,0.95,1.00
8.21,24.00,50994.82,3087.56,9324.46,438.05,438.05,928.53,288.00,737.44,3.56,1.00,18.20,1.04,60.31,1.19,0.95,1.00
9.30,27.00,72779.36,3560.44,9790.93,644.83,644.83,1093.75,288.00,785.09,4.48,1.00,22.26,1.05,90.12,1.78,0.95,1.00
1.14,3.00,657.68,1365.88,6737.71,8.47,8.47,457.49,288.00,548.97,1.11,1.00,5.91,1.02,0.00,0.08,0.95,1.00
2.09,6.00,3808.99,1346.14,6858.93,22.66,22.66,538.20,288.00,564.97,1.23,1.00,6.56,1.02,21.10,0.18,0.95,1.00
3.14,9.00,8381.17,1386.77,7161.82,60.38,60.38,586.71,288.00,583.64,1.39,1.00,7.42,1.02,12.29,0.24,0.95,1.00
4.16,12.00,14725.82,1547.48,7830.16,113.81,113.81,640.70,288.00,609.65,1.65,1.00,8.81,1.02,17.13,0.34,0.95,1.00
5.14,15.00,21639.37,1924.35,8511.96,175.31,175.31,708.47,288.00,640.90,2.07,1.00,10.95,1.03,25.08,0.50,0.95,1.00
6.18,18.00,29798.16,2307.22,8847.80,246.37,246.37,774.63,288.00,670.80,2.50,1.00,13.06,1.03,34.10,0.68,0.95,1.00
7.15,21.00,38975.88,2678.08,9142.01,332.07,332.07,830.15,288.00,695.26,2.95,1.00,15.32,1.04,44.00,0.87,0.95,1.00
8.21,24.00,50994.71,3087.55,9324.86,438.04,438.04,927.52,288.00,737.29,3.56,1.00,18.18,1.04,60.21,1.19,0.95,1.00
9.30,27.00,72779.97,3560.44,9791.64,644.82,644.82,1092.90,288.00,784.96,4.48,1.00,22.24,1.05,90.02,1.78,0.95,1.00
1.14,3.00,902.98,1376.16,6747.23,9.06,9.06,464.04,288.00,550.39,1.12,1.00,5.97,1.02,0.00,0.08,0.95,1.00
2.09,6.00,3779.18,1346.21,6861.51,22.67,22.67,536.54,288.00,564.69,1.23,1.00,6.55,1.02,21.01,0.18,0.95,1.00
3.14,9.00,8381.24,1386.77,7164.41,60.38,60.38,585.91,288.00,583.50,1.39,1.00,7.41,1.02,12.26,0.24,0.95,1.00
4.16,12.00,14725.96,1547.48,7832.20,113.81,113.81,639.84,288.00,609.49,1.65,1.00,8.80,1.02,17.08,0.34,0.95,1.00
5.14,15.00,21639.33,1924.35,8512.88,175.36,175.36,707.52,288.00,640.72,2.07,1.00,10.94,1.03,25.02,0.50,0.95,1.00
6.18,18.00,29798.08,2307.21,8848.81,246.33,246.33,773.57,288.00,670.58,2.49,1.00,13.05,1.03,34.03,0.67,0.95,1.00
7.15,21.00,38975.60,2678.08,9142.52,332.14,332.14,829.15,288.00,695.09,2.95,1.00,15.30,1.04,43.92,0.87,0.95,1.00
8.21,24.00,50994.57,3087.55,9325.25,437.96,437.96,926.51,288.00,737.14,3.56,1.00,18.16,1.04,60.12,1.19,0.95,1.00
9.30,27.00,72780.87,3560.44,9792.36,645.12,645.12,1092.04,288.00,784.83,4.47,1.00,22.21,1.05,89.92,1.78,0.95,1.00
1.14,3.00,1151.05,1384.95,6755.79,9.57,9.57,470.54,288.00,551.81,1.13,1.00,6.02,1.02,0.00,0.09,0.95,1.00
2.09,6.00,3591.77,1347.50,6864.80,22.89,22.89,529.88,288.00,563.79,1.22,1.00,6.51,1.02,19.73,0.17,0.95,1.00
3.14,9.00,8381.29,1386.77,7167.01,60.37,60.37,585.12,288.00,583.35,1.39,1.00,7.40,1.02,12.23,0.24,0.95,1.00
4.16,12.00,14726.01,1547.48,7834.25,113.82,113.82,638.99,288.00,609.33,1.65,1.00,8.80,1.02,17.04,0.34,0.95,1.00
5.14,15.00,21639.53,1924.36,8513.79,175.32,175.32,706.58,288.00,640.54,2.07,1.00,10.93,1.03,24.97,0.49,0.95,1.00
6.18,18.00,29798.36,2307.21,8849.85,246.31,246.31,772.51,288.00,670.37,2.49,1.00,13.04,1.03,33.96,0.67,0.95,1.00
7.15,21.00,38975.33,2678.08,9143.02,332.08,332.08,828.16,288.00,694.93,2.95,1.00,15.28,1.04,43.85,0.87,0.95,1.00
8.21,24.00,50994.49,3087.55,9325.65,438.10,438.10,925.51,288.00,737.00,3.56,1.00,18.14,1.04,60.02,1.19,0.95,1.00
9.30,27.00,72781.76,3560.43,9793.07,645.00,645.00,1091.19,288.00,784.71,4.47,1.00,22.18,1.05,89.82,1.78,0.95,1.00
1.14,3.00,1267.26,1388.51,6760.80,9.78,9.78,473.28,288.00,552.37,1.14,1.00,6.05,1.02,0.00,0.09,0.95,1.00
2.09,6.00,3459.12,1348.46,6867.96,23.06,23.06,525.07,288.00,563.04,1.22,1.00,6.48,1.02,19.08,0.17,0.95,1.00
3.14,9.00,8381.43,1386.77,7169.61,60.39,60.39,584.33,288.00,583.20,1.39,1.00,7.40,1.02,12.19,0.24,0.95,1.00
4.16,12.00,14726.02,1547.48,7836.29,113.80,113.80,638.14,288.00,609.18,1.65,1.00,8.79,1.02,17.00,0.34,0.95,1.00
5.14,15.00,21639.63,1924.36,8514.71,175.34,175.34,705.64,288.00,640.37,2.07,1.00,10.92,1.03,24.91,0.49,0.95,1.00
6.18,18.00,29798.56,2307.21,8850.88,246.38,246.38,771.45,288.00,670.16,2.49,1.00,13.02,1.03,33.89,0.67,0.95,1.00
7.15,21.00,38975.07,2678.08,9143.52,332.12,332.12,827.16,288.00,694.76,2.95,1.00,15.27,1.04,43.77,0.87,0.95,1.00
8.21,24.00,50994.43,3087.55,9326.05,438.07,438.07,924.51,288.00,736.85,3.56,1.00,18.12,1.04,59.93,1.19,0.95,1.00
9.30,27.00,72782.76,3560.49,9793.79,645.14,645.14,1090.35,288.00,784.58,4.47,1.00,22.16,1.05,89.72,1.78,0.95,1.00
1.14,3.00,1949.67,1313.17,6647.29,5.60,5.60,538.95,288.00,559.10,1.16,1.00,6.32,1.02,30.10,0.18,0.95,0.98
2.09,6.00,6772.79,1362.20,6810.73,25.62,25.62,632.52,288.00,579.80,1.32,1.00,7.24,1.02,17.71,0.29,0.95,0.98
3.14,9.00,8378.81,1386.76,7102.57,60.35,60.35,604.12,288.00,586.70,1.39,1.00,7.58,1.02,13.02,0.26,0.95,0.98
4.16,12.00,14723.76,1547.46,7783.34,113.79,113.79,659.58,288.00,612.96,1.66,1.00,9.01,1.02,18.03,0.36,0.95,0.98
5.14,15.00,21635.23,1924.31,8490.87,175.27,175.27,729.31,288.00,644.63,2.08,1.00,11.20,1.03,26.28,0.52,0.95,0.98
6.18,18.00,29791.46,2307.45,8823.97,246.19,246.19,798.28,288.00,675.40,2.50,1.00,13.36,1.03,35.66,0.71,0.95,0.98
7.15,21.00,38984.65,2678.08,9130.40,332.20,332.20,852.00,288.00,698.67,2.97,1.00,15.69,1.04,45.74,0.91,0.95,0.98
8.21,24.00,50996.05,3087.53,9316.08,438.04,438.04,949.41,288.00,740.47,3.58,1.00,18.65,1.04,62.28,1.23,0.95,0.98
9.30,27.00,72761.80,3560.40,9773.75,644.99,644.99,1111.08,288.00,787.61,4.50,1.00,22.84,1.05,92.24,1.83,0.95,0.98
1.14,3.00,948.75,1321.13,6653.56,6.02,6.02,501.04,288.00,553.59,1.12,1.00,6.09,1.02,24.42,0.14,0.95,0.98
2.09,6.00,6811.54,1363.02,6813.79,25.78,25.78,632.40,288.00,579.79,1.32,1.00,7.24,1.02,17.11,0.29,0.95,0.98
3.14,9.00,8378.92,1386.76,7105.15,60.35,60.35,603.29,288.00,586.55,1.39,1.00,7.57,1.02,12.98,0.26,0.95,0.98
4.16,12.00,14723.89,1547.46,7785.34,113.77,113.77,658.68,288.00,612.80,1.66,1.00,9.00,1.02,17.99,0.36,0.95,0.98
5.14,15.00,21635.31,1924.31,8491.78,175.28,175.28,728.32,288.00,644.44,2.08,1.00,11.19,1.03,26.22,0.52,0.95,0.98
6.18,18.00,29791.71,2307.43,8825.00,246.28,246.28,797.15,288.00,675.18,2.50,1.00,13.35,1.03,35.58,0.70,0.95,0.98
7.15,21.00,38984.27,2678.09,9130.90,332.11,332.11,850.96,288.00,698.50,2.97,1.00,15.68,1.04,45.66,0.90,0.95,0.98
8.21,24.00,50996.53,3087.56,9316.46,437.99,437.99,948.36,288.00,740.30,3.58,1.00,18.62,1.04,62.19,1.23,0.95,0.98
9.30,27.00,72762.41,3560.40,9774.55,644.75,644.75,1110.17,288.00,787.47,4.50,1.00,22.81,1.05,92.13,1.82,0.95,0.98
1.14,3.00,284.46,1344.64,6670.31,7.30,7.30,463.60,288.00,549.45,1.10,1.00,5.94,1.02,10.03,0.08,0.95,0.98
2.09,6.00,6628.20,1358.82,6813.69,25.01,25.01,627.85,288.00,578.94,1.32,1.00,7.20,1.02,19.28,0.29,0.95,0.98
3.14,9.00,8378.99,1386.76,7107.73,60.35,60.35,602.46,288.00,586.40,1.39,1.00,7.56,1.02,12.95,0.26,0.95,0.98
4.16,12.00,14723.96,1547.46,7787.34,113.79,113.79,657.78,288.00,612.63,1.66,1.00,8.99,1.02,17.95,0.36,0.95,0.98
5.14,15.00,21635.51,1924.32,8492.69,175.30,175.30,727.32,288.00,644.26,2.08,1.00,11.18,1.03,26.16,0.52,0.95,0.98
6.18,18.00,29792.08,2307.42,8826.04,246.29,246.29,796.02,288.00,674.95,2.50,1.00,13.34,1.03,35.51,0.70,0.95,0.98
7.15,21.00,38983.84,2678.09,9131.41,332.19,332.19,849.91,288.00,698.32,2.97,1.00,15.66,1.04,45.57,0.90,0.95,0.98
8.21,24.00,50996.94,3087.58,9316.83,438.03,438.03,947.31,288.00,740.14,3.58,1.00,18.60,1.04,62.09,1.23,0.95,0.98
9.30,27.00,72763.72,3560.40,9775.36,644.72,644.72,1109.27,288.00,787.32,4.50,1.00,22.78,1.05,92.02,1.82,0.95,0.98
1.14,3.00,654.18,1366.89,6687.95,8.56,8.56,468.43,288.00,551.58,1.11,1.00,6.02,1.02,0.00,0.08,0.95,0.98
2.09,6.00,6504.66,1356.89,6815.04,24.66,24.66,624.18,288.00,578.29,1.31,1.00,7.17,1.02,19.97,0.28,0.95,0.98
3.14,9.00,8379.07,1386.76,7110.31,60.35,60.35,601.64,288.00,586.25,1.39,1.00,7.55,1.02,12.92,0.26,0.95,0.98
4.16,12.00,14724.00,1547.47,7789.35,113.80,113.80,656.88,288.00,612.47,1.66,1.00,8.98,1.02,17.91,0.35,0.95,0.98
5.14,15.00,21635.76,1924.32,8493.61,175.31,175.31,726.33,288.00,644.07,2.08,1.00,11.17,1.03,26.11,0.52,0.95,0.98
6.18,18.00,29792.52,2307.41,8827.08,246.24,246.24,794.89,288.00,674.72,2.50,1.00,13.32,1.03,35.44,0.70,0.95,0.98
7.15,21.00,38983.39,2678.09,9131.91,332.21,332.21,848.88,288.00,698.15,2.96,1.00,15.64,1.04,45.49,0.90,0.95,0.98
8.21,24.00,50997.24,3087.59,9317.20,438.15,438.15,946.27,288.00,739.97,3.58,1.00,18.58,1.04,61.99,1.23,0.95,0.98
9.30,27.00,72765.26,3560.40,9776.17,644.78,644.78,1108.38,288.00,787.18,4.50,1.00,22.76,1.05,91.92,1.82,0.95,0.98
1.14,3.00,984.77,1379.69,6699.34,9.29,9.29,477.81,288.00,553.43,1.13,1.00,6.09,1.02,0.00,0.09,0.95,0.98
2.09,6.00,6458.99,1356.15,6817.12,24.53,24.53,622.33,288.00,578.00,1.31,1.00,7.15,1.02,20.39,0.28,0.95,0.98
3.14,9.00,8379.17,1386.76,7112.89,60.36,60.36,600.81,288.00,586.10,1.39,1.00,7.55,1.02,12.88,0.26,0.95,0.98
4.16,12.00,14724.07,1547.47,7791.35,113.80,113.80,655.98,288.00,612.31,1.66,1.00,8.98,1.02,17.86,0.35,0.95,0.98
5.14,15.00,21635.91,1924.32,8494.52,175.31,175.31,725.34,288.00,643.89,2.08,1.00,11.16,1.03,26.05,0.52,0.95,0.98
6.18,18.00,29792.76,2307.39,8828.11,246.28,246.28,793.77,288.00,674.50,2.50,1.00,13.31,1.03,35.36,0.70,0.95,0.98
7.15,21.00,38983.01,2678.09,9132.41,332.10,332.10,847.84,288.00,697.97,2.96,1.00,15.62,1.04,45.41,0.90,0.95,0.98
8.21,24.00,50997.41,3087.61,9317.57,438.02,438.02,945.22,288.00,739.81,3.58,1.00,18.56,1.04,61.89,1.23,0.95,0.98
9.30,27.00,72765.74,3560.40,9776.96,644.76,644.76,1107.47,288.00,787.03,4.50,1.00,22.73,1.05,91.81,1.82,0.95,0.98
1.14,3.00,1191.30,1386.52,6706.68,9.69,9.69,483.23,288.00,554.61,1.14,1.00,6.14,1.02,0.00,0.10,0.95,0.98
2.09,6.00,6233.13,1353.01,6817.72,23.95,23.95,616.23,288.00,576.94,1.30,1.00,7.10,1.02,21.46,0.27,0.95,0.98
3.14,9.00,8379.33,1386.76,7115.47,60.36,60.36,599.99,288.00,585.95,1.39,1.00,7.54,1.02,12.85,0.25,0.95,0.98
